16:36:55.516 > 
16:36:55.516 > 8,-50
16:36:55.620 > 9,-44
16:36:55.721 > 10,-52
16:36:55.824 > 11,-45
16:36:55.926 > 12,-54
16:36:56.029 > 13,-48
16:36:56.131 > 14,-48
16:36:56.233 > 15,-46
16:36:56.335 > 16,-52
16:36:56.438 > 17,-44
16:36:56.541 > 18,-45
16:36:56.643 > 19,-48
16:36:56.745 > 20,-58
16:36:56.850 > 21,-63
16:36:56.850 > 22,-62
16:36:56.850 > 23,-61
16:36:56.853 > 24,-62
16:36:56.856 > 25,-61
16:36:56.950 > 25,-62
16:36:57.053 > 26,-59
16:36:57.155 > 27,-55
16:36:57.257 > 28,-47
16:36:57.361 > 29,-53
16:36:57.462 > 30,-54
16:36:57.564 > 31,-46
16:36:57.667 > 32,-45
16:36:57.769 > 33,-45
16:36:57.974 > 34,-51
16:36:58.076 > 35,-53
16:36:58.179 > 36,-54
16:36:58.281 > 37,-44
16:36:58.384 > 38,-45
16:36:58.486 > 39,-45
16:36:58.589 > 40,-52
16:36:58.691 > 41,-52
16:36:58.793 > 42,-51
16:36:58.896 > 43,-52
16:36:58.998 > 44,-52
16:36:59.101 > 45,-51
16:36:59.203 > 46,-45
16:36:59.308 > 47,-52
16:36:59.408 > 48,-44
16:36:59.512 > 49,-51
16:36:59.613 > 50,-47
16:36:59.716 > 50,-51
16:36:59.817 > 51,-47
16:36:59.920 > 52,-45
16:37:00.022 > 53,-44
16:37:00.124 > 54,-45
16:37:00.228 > 55,-45
16:37:00.228 > 56,-44
16:37:00.330 > 57,-44
16:37:00.432 > 58,-51
16:37:00.534 > 59,-43
16:37:00.636 > 60,-51
16:37:00.739 > 61,-45
16:37:00.841 > 62,-44
16:37:00.944 > 63,-44
16:37:01.046 > 64,-52
16:37:01.149 > 65,-44
16:37:01.251 > 66,-51
16:37:01.353 > 67,-51
16:37:01.456 > 68,-46
16:37:01.558 > 69,-51
16:37:01.661 > 70,-44
16:37:01.763 > 71,-51
16:37:01.865 > 72,-45
16:37:01.968 > 73,-45
16:37:02.070 > 74,-44
16:37:02.173 > 75,-51
16:37:02.275 > 75,-52
16:37:02.377 > 76,-45
16:37:02.480 > 77,-52
16:37:02.582 > 78,-44
16:37:02.684 > 79,-44
16:37:02.787 > 80,-45
16:37:02.890 > 81,-45
16:37:02.992 > 82,-44
16:37:03.094 > 83,-44
16:37:03.197 > 84,-52
16:37:03.299 > 85,-44
16:37:03.401 > 86,-44
16:37:03.504 > 87,-51
16:37:03.606 > 88,-52
16:37:03.709 > 89,-45
16:37:03.811 > 90,-50
16:37:03.914 > 91,-43
16:37:04.016 > 92,-51
16:37:04.118 > 93,-43
16:37:04.221 > 94,-43
16:37:04.323 > 95,-43
16:37:04.425 > 96,-43
16:37:04.528 > 97,-49
16:37:04.630 > 98,-50
16:37:04.733 > 99,-42
16:37:04.845 > Connecting to Wi-Fi - 224
16:37:04.942 > .........................................
16:37:09.767 > Connected! IP address: 192.168.0.244
16:37:09.770 > Iterations
16:37:09.770 > 11
16:37:09.770 > Batch
16:37:09.772 > 1
16:37:09.870 > Batch
16:37:09.870 > 2
16:37:09.972 > Batch
16:37:09.972 > 3
16:37:10.073 > Batch
16:37:10.074 > 4
16:37:10.175 > Batch
16:37:10.175 > 5
16:37:10.276 > Batch
16:37:10.277 > 6
16:37:10.378 > Batch
16:37:10.378 > 7
16:37:10.480 > Batch
16:37:10.480 > 8
16:37:10.581 > Batch
16:37:10.582 > 9
16:37:10.683 > Batch
16:37:10.683 > 10
16:37:10.784 > Batch
16:37:10.784 > 11
16:37:10.886 > Data Sent! Rebooting now
16:37:26.362 > ;l␀l��<␀�l�|␃␄␌␄�␌d�␌#|��␃�␛�{�c�␌c��gn�l'o���␄cppćlrl{l␁ ␇␁␀␇␁ ␇␁␀␀
